City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Srednekolymsk,RU,2022-04-01 00:08:50,67.45,153.6833,254.57,87,96,1.59
123,Bhanjanagar,IN,2022-04-01 00:08:50,19.9333,84.5833,297.7,73,10,0.4
124,East London,ZA,2022-04-01 00:08:50,-33.0153,27.9116,292.74,92,100,3.21
125,Qaanaaq,GL,2022-04-01 00:08:51,77.484,-69.3632,269.07,70,100,1.23
126,Ulundi,ZA,2022-04-01 00:08:51,-28.3352,31.4162,290.76,92,0,1.58
127,Atuona,PF,2022-04-01 00:08:51,-9.8,-139.0333,299.11,74,19,3.53
128,Pemberton,CA,2022-04-01 00:07:59,50.3164,-122.8027,280.35,78,98,1.42
129,Butaritari,KI,2022-04-01 00:08:52,3.0707,172.7902,300.58,79,38,6.88
130,La Mata,PA,2022-04-01 00:08:52,8.0833,-80.8833,298.96,83,73,2.11
131,Morbach,DE,2022-04-01 00:08:52,49.8167,7.1167,275.79,89,75,2.57
132,Kapaa,US,2022-04-01 00:08:03,22.0752,-159.319,300.48,79,100,4.63
133,Puerto Ayora,EC,2022-04-01 00:08:53,-0.7393,-90.3518,296.79,99,91,0.49
134,Torbay,CA,2022-04-01 00:05:34,47.6666,-52.7314,275.69,76,50,3.58
135,Fort Nelson,CA,2022-04-01 00:08:53,58.8053,-122.7002,269.78,85,100,2.25
136,Lebu,CL,2022-04-01 00:08:54,-37.6167,-73.65,285.27,78,94,9.2
137,Bredasdorp,ZA,2022-04-01 00:08:54,-34.5322,20.0403,290.38,64,90,2.02
138,Nuuk,GL,2022-04-01 00:08:55,64.1835,-51.7216,271.49,93,40,1.54
139,Lompoc,US,2022-04-01 00:08:55,34.6391,-120.4579,291.95,81,75,8.75
140,Hilo,US,2022-04-01 00:08:55,19.7297,-155.09,299.96,75,75,3.6
141,Namtsy,RU,2022-04-01 00:08:56,62.7161,129.6658,260.65,95,99,1.42
142,George,ZA,2022-04-01 00:08:56,-33.963,22.4617,287.9,94,75,1.03
143,Chuy,UY,2022-04-01 00:08:56,-33.6971,-53.4616,285.8,80,49,2.96
144,Santa Lucia,ES,2022-04-01 00:06:41,27.9117,-15.5407,286.77,68,20,7.72
145,Tarakan,ID,2022-04-01 00:09:57,3.3,117.6333,296.87,94,75,2.57
146,Northam,GB,2022-04-01 00:09:57,51.0333,-4.2167,277.93,71,34,6.83
147,Moanda,GA,2022-04-01 00:09:58,-1.5575,13.2178,294.92,97,78,0.75
148,Greeneville,US,2022-04-01 00:14:47,36.1632,-82.831,288.33,58,40,4.63
149,Bethel,US,2022-04-01 00:09:58,41.3712,-73.414,289.2,89,100,5.66
150,Saskylakh,RU,2022-04-01 00:14:48,71.9167,114.0833,259.68,96,100,3.39
151,Tamara,HN,2022-04-01 00:14:48,14.15,-87.3333,296.82,50,85,2.67
152,Gemena,CD,2022-04-01 00:14:48,3.25,19.7667,297.33,66,47,1.23
153,Boguchany,RU,2022-04-01 00:14:49,58.3814,97.4531,274.38,94,100,4.39
154,Kaitangata,NZ,2022-04-01 00:14:49,-46.2817,169.8464,285.22,53,100,2.47
155,Saint George,US,2022-04-01 00:14:50,37.1041,-113.5841,297.39,19,0,7.2
156,Norman Wells,CA,2022-04-01 00:14:50,65.282,-126.8329,251.41,86,100,5.35
157,Satipo,PE,2022-04-01 00:14:50,-11.2522,-74.6386,295.02,97,97,1.13
158,Esperance,AU,2022-04-01 00:14:51,-33.8667,121.9,292.32,70,91,8.49
159,Pokhara,NP,2022-04-01 00:12:00,28.2333,83.9833,293.06,64,60,1.97
160,Nanakuli,US,2022-04-01 00:14:51,21.3906,-158.1547,302.12,59,40,6.69
161,Mareeba,AU,2022-04-01 00:14:52,-17.0,145.4333,303.39,45,4,0.63
162,Broken Hill,AU,2022-04-01 00:14:52,-31.95,141.4333,290.41,47,0,8.93
163,Yellowknife,CA,2022-04-01 00:14:52,62.456,-114.3525,262.27,83,100,7.7
164,Prince Rupert,CA,2022-04-01 00:13:15,54.3161,-130.3201,279.2,70,100,2.06
165,Peniche,PT,2022-04-01 00:14:53,39.3558,-9.3811,286.54,87,8,8.89
166,Ati,TD,2022-04-01 00:14:53,13.2154,18.3353,300.1,9,5,4.75
167,Mataura,NZ,2022-04-01 00:14:53,-46.1927,168.8643,285.87,50,100,2.0
168,Cherskiy,RU,2022-04-01 00:14:54,68.75,161.3,250.74,93,92,2.31
169,Port Keats,AU,2022-04-01 00:14:54,-14.25,129.55,303.39,65,96,1.73
