City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
46,Ponta Do Sol,PT,2022-04-03 21:59:38,32.6667,-17.1,61.43,75,100,13.8
47,Yarmouth,US,2022-04-03 22:03:29,41.7057,-70.2286,46.96,75,100,8.99
48,Martvili,GE,2022-04-03 22:03:29,42.4144,42.3792,51.85,82,96,7.52
49,Sabzevar,IR,2022-04-03 22:03:30,36.2126,57.6819,68.5,19,5,5.61
50,Hobart,AU,2022-04-03 22:03:28,-42.8794,147.3294,57.06,92,75,8.05
51,Mahebourg,MU,2022-04-03 22:01:10,-20.4081,57.7,79.25,83,75,11.5
52,Bethel,US,2022-04-03 22:03:30,41.3712,-73.414,42.94,91,100,5.44
53,Klaksvik,FO,2022-04-03 22:02:44,62.2266,-6.589,45.52,98,100,12.86
54,Port Elizabeth,ZA,2022-04-03 22:02:51,-33.918,25.5701,65.32,87,20,9.22
55,Nikolskoye,RU,2022-04-03 21:59:26,59.7035,30.7861,29.8,96,34,3.51
56,Yulara,AU,2022-04-03 22:03:30,-25.2406,130.9889,58.73,35,0,6.29
57,Punta Arenas,CL,2022-04-03 22:00:49,-53.15,-70.9167,42.12,70,27,24.2
58,Thompson,CA,2022-04-03 22:03:31,55.7435,-97.8558,33.13,89,100,7.72
59,Sabha,LY,2022-04-03 22:03:31,27.0377,14.4283,78.73,9,0,7.27
60,Lompoc,US,2022-04-03 21:59:16,34.6391,-120.4579,74.7,79,75,18.41
61,Wyndham,US,2022-04-03 22:03:32,37.6985,-77.6125,61.59,35,0,13.8
62,Barrow,US,2022-04-03 22:03:32,71.2906,-156.7887,-5.78,77,0,18.41
63,Castro,BR,2022-04-03 22:03:33,-24.7911,-50.0119,65.14,92,80,4.88
64,Bambous Virieux,MU,2022-04-03 22:03:33,-20.3428,57.7575,79.21,83,75,11.5
65,Eregli,TR,2022-04-03 22:03:33,37.5133,34.0467,54.91,39,98,4.72
66,Conceicao Da Barra,BR,2022-04-03 22:03:34,-18.5933,-39.7322,76.3,81,0,5.53
67,Berlevag,NO,2022-04-03 22:00:58,70.8578,29.0864,26.6,59,40,12.66
68,Pathein,MM,2022-04-03 22:03:34,16.7833,94.7333,77.29,72,93,2.89
69,Cape Town,ZA,2022-04-03 22:03:35,-33.9258,18.4232,62.28,84,25,4.0
70,Carnarvon,AU,2022-04-03 21:58:18,-24.8667,113.6333,77.07,83,40,9.22
71,Kruisfontein,ZA,2022-04-03 22:00:59,-34.0033,24.7314,59.88,81,94,5.44
72,Saint-Philippe,RE,2022-04-03 22:03:35,-21.3585,55.7679,72.99,90,100,11.03
73,Bengkulu,ID,2022-04-03 22:03:36,-3.8004,102.2655,75.96,84,96,4.81
74,Tiksi,RU,2022-04-03 21:56:02,71.6872,128.8694,4.59,98,100,7.4
75,Puerto Ayora,EC,2022-04-03 22:01:16,-0.7393,-90.3518,78.55,93,62,8.01
76,Berlin,DE,2022-04-03 22:03:36,52.5244,13.4105,40.98,74,75,11.5
77,Sidrolandia,BR,2022-04-03 22:03:37,-20.9319,-54.9614,77.13,70,86,3.85
78,Sebinkarahisar,TR,2022-04-03 22:03:37,40.2883,38.4236,46.31,56,92,4.12
79,Kahului,US,2022-04-03 22:03:38,20.8947,-156.47,80.96,87,21,11.99
80,Boyolangu,ID,2022-04-03 22:03:38,-8.1181,111.8935,73.06,93,71,0.94
81,Bredasdorp,ZA,2022-04-03 22:03:38,-34.5322,20.0403,60.49,91,39,0.65
82,Halifax,CA,2022-04-03 22:01:41,44.6453,-63.5724,46.69,58,100,3.0
83,New Norfolk,AU,2022-04-03 22:03:39,-42.7826,147.0587,56.7,89,97,1.7
84,Qaanaaq,GL,2022-04-03 22:03:39,77.484,-69.3632,12.85,72,72,6.78
85,Ranong,TH,2022-04-03 22:00:53,9.9658,98.6348,75.38,93,86,3.29
86,Albany,US,2022-04-03 22:00:15,42.6001,-73.9662,40.03,88,100,2.59
87,General Roca,AR,2022-04-03 22:04:40,-39.0333,-67.5833,63.86,18,54,16.51
88,Labuhan,ID,2022-04-03 22:00:55,-6.8844,112.2051,76.21,87,100,6.13
89,Sulangan,PH,2022-04-03 22:04:40,11.1373,123.7228,80.98,81,93,17.36
90,Luderitz,NA,2022-04-03 21:55:57,-26.6481,15.1594,59.65,87,0,5.59
91,Miragoane,HT,2022-04-03 22:04:40,18.4423,-73.0876,82.29,66,11,7.7
92,Coquimbo,CL,2022-04-03 22:04:41,-29.9533,-71.3436,60.53,88,20,11.5
93,Sobolevo,RU,2022-04-03 22:04:41,54.4299,31.8996,22.44,90,99,6.04
94,Mananjary,MG,2022-04-03 22:04:42,-21.2167,48.3333,72.25,93,43,6.85
95,Lagoa,PT,2022-04-03 22:04:42,39.05,-27.9833,59.02,81,16,18.7
96,Loandjili,CG,2022-04-03 22:04:42,-4.7561,11.8578,78.03,91,46,4.27
97,Safranbolu,TR,2022-04-03 22:04:43,41.2508,32.6942,42.44,87,39,2.57
98,Northam,GB,2022-04-03 22:04:43,51.0333,-4.2167,45.61,73,63,11.03
99,Hilo,US,2022-04-03 22:02:56,19.7297,-155.09,75.25,85,100,9.22
100,Faanui,PF,2022-04-03 22:02:05,-16.4833,-151.75,82.0,73,70,11.48
101,Ribeira Grande,PT,2022-04-03 22:04:43,38.5167,-28.7,60.46,78,49,10.07
102,Te Anau,NZ,2022-04-03 21:57:10,-45.4167,167.7167,56.03,50,35,0.49
103,Caborca,MX,2022-04-03 22:04:44,30.5838,-111.101,80.85,14,8,18.03
104,Kasongo-Lunda,CD,2022-04-03 21:59:35,-6.4667,16.8167,70.14,89,54,1.86
105,Sao Filipe,CV,2022-04-03 22:04:44,14.8961,-24.4956,71.08,73,14,8.68
106,Gustavo Diaz Ordaz,MX,2022-04-03 22:04:44,26.2333,-98.5833,90.95,49,71,1.99
107,Mangrol,IN,2022-04-03 22:04:45,21.1167,70.1167,76.89,78,0,12.28
108,Alofi,NU,2022-04-03 22:04:45,-19.0595,-169.9187,80.89,71,64,13.44
109,Tabuk,PH,2022-04-03 22:04:02,17.4189,121.4443,71.67,97,100,6.17
110,Harlingen,US,2022-04-03 22:04:25,26.1906,-97.6961,84.2,49,20,16.11
111,Bosaso,SO,2022-04-03 22:04:45,11.2842,49.1816,82.74,43,41,11.1
112,Tuatapere,NZ,2022-04-03 21:55:54,-46.1333,167.6833,54.88,74,59,2.44
113,Souillac,MU,2022-04-03 21:59:37,-20.5167,57.5167,79.18,83,75,11.5
114,Saldanha,ZA,2022-04-03 22:04:46,-33.0117,17.9442,60.73,81,0,8.37
115,Narsaq,GL,2022-04-03 22:04:46,60.9167,-46.05,41.22,83,100,1.81
116,Quatis,BR,2022-04-03 22:04:47,-22.4072,-44.2581,69.71,98,43,1.7
117,Channahon,US,2022-04-03 22:04:47,41.4295,-88.2287,55.38,55,0,3.44
118,Inhambane,MZ,2022-04-03 22:04:48,-23.865,35.3833,77.23,71,5,10.92
119,Nakasongola,UG,2022-04-03 22:04:48,1.3089,32.4564,71.85,61,91,1.79
120,Khatanga,RU,2022-04-03 22:04:48,71.9667,102.5,-32.35,100,99,3.31
121,Anadyr,RU,2022-04-03 21:57:04,64.75,177.4833,-5.01,76,0,6.71
122,Minas,UY,2022-04-03 22:01:26,-34.3759,-55.2377,66.78,77,98,6.46
123,Dingle,PH,2022-04-03 22:04:49,10.9995,122.6711,75.13,87,98,7.18
124,Turiacu,BR,2022-04-03 22:04:49,-1.6633,-45.3717,75.31,93,88,4.74
125,Beloha,MG,2022-04-03 22:04:49,-25.1667,45.05,72.03,89,0,10.87
126,Acapulco,MX,2022-04-03 22:02:11,16.8634,-99.8901,83.93,55,19,11.27
127,Necochea,AR,2022-04-03 22:00:07,-38.5473,-58.7368,54.05,54,85,12.88
128,Cabanas,CU,2022-04-03 22:04:50,22.9758,-82.9219,78.71,77,54,6.96
129,Portland,US,2022-04-03 22:01:49,45.5234,-122.6762,59.27,63,100,11.01
130,Vestmannaeyjar,IS,2022-04-03 22:03:23,63.4427,-20.2734,42.89,81,100,16.82
131,Road Town,VG,2022-04-03 22:04:50,18.4167,-64.6167,80.69,65,20,6.91
132,Khash,IR,2022-04-03 22:04:50,28.2211,61.2158,64.87,14,0,2.82
133,Marsa Matruh,EG,2022-04-03 22:04:51,31.3525,27.2453,63.34,69,0,9.22
134,Tessalit,ML,2022-04-03 22:05:34,20.1986,1.0114,88.27,9,0,4.18
135,Oudtshoorn,ZA,2022-04-03 22:05:51,-33.5907,22.2014,61.68,87,17,1.21
136,Sambava,MG,2022-04-03 22:05:51,-14.2667,50.1667,75.42,92,100,5.44
137,Khoy,IR,2022-04-03 22:05:52,38.5504,44.9535,58.59,35,100,6.71
138,Akdepe,TM,2022-04-03 22:05:52,42.0551,59.3788,66.79,18,0,12.86
139,Severo-Kurilsk,RU,2022-04-03 22:05:53,50.6789,156.125,33.3,87,23,11.81
140,Qasigiannguit,GL,2022-04-03 22:05:53,68.8193,-51.1922,30.45,95,19,5.3
141,Saskylakh,RU,2022-04-03 22:05:54,71.9167,114.0833,-6.7,98,100,10.65
142,Geraldton,AU,2022-04-03 22:05:54,-28.7667,114.6,73.81,78,100,14.97
143,Comodoro Rivadavia,AR,2022-04-03 22:05:54,-45.8667,-67.5,58.86,31,0,19.57
144,Cherskiy,RU,2022-04-03 22:05:55,68.75,161.3,-0.63,93,100,5.1
145,Vaini,TO,2022-04-03 22:02:49,-21.2,-175.2,75.36,94,75,5.75
146,Sorland,NO,2022-04-03 22:05:55,67.667,12.6934,35.1,73,41,12.68
147,Port Lincoln,AU,2022-04-03 22:05:55,-34.7333,135.8667,59.77,81,2,2.95
148,Dikson,RU,2022-04-03 22:02:58,73.5069,80.5464,-2.72,99,36,9.33
