City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
191,Quatre Cocos,MU,80.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
194,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
195,Fare,PF,81.79,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
199,Mackay,AU,73.38,broken clouds,-21.15,149.2,International Lodge Motel
203,Champerico,GT,75.74,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
211,Butaritari,KI,80.89,light rain,3.0707,172.7902,Isles Sunset Lodge
214,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
215,Bedi,IN,82.81,broken clouds,22.5,70.05,Hotel Aram
218,Lat Yao,TH,78.84,light rain,15.751,99.7893,โรงแรมสอระ
221,Bambous Virieux,MU,80.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
225,Nouadhibou,MR,71.58,few clouds,20.931,-17.0347,El Medina
226,Ixtapa,MX,71.22,overcast clouds,20.7,-105.2,hotel la terminal
238,Mananara,MG,80.37,light rain,-16.1667,49.7667,Chez Roger
240,Kloulklubed,PW,82.36,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
246,Grand Gaube,MU,81.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
247,Bengkulu,ID,79.05,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
248,Cruz,BR,84.9,overcast clouds,-2.9178,-40.1717,Hotel Villaboibom
251,Ghanzi,BW,84.81,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
254,Lubango,AO,75.06,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
257,Nkhata Bay,MW,79.72,clear sky,-11.6066,34.2907,Mayoka Village
258,Sijunjung,ID,74.34,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
262,Kavaratti,IN,83.37,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
265,Kieta,PG,79.81,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
272,Taganak,PH,78.94,overcast clouds,6.0833,118.3,Taganak
273,Cidreira,BR,72.37,overcast clouds,-30.1811,-50.2056,Hotel Castelo
274,Kathu,TH,80.42,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
275,Mulanje,MW,77.76,moderate rain,-16.0316,35.5,Mulanje Motel
277,Pafos,CY,78.22,broken clouds,34.7667,32.4167,Elysium Hotel
287,Oranjestad,AW,80.55,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
289,Port Shepstone,ZA,79.77,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
290,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
292,Tura,IN,74.37,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
294,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
